name,line
Hitori Gotou, Y-Yes! A-Are you sure you want to buy those t-t-tickets?
Kikuri Hiroi," Give it up already, Hitori-chan!"
Hitori Gotou, B-But I...
s Fans," This was my first time watching a street performance, but you were so good! Keep up the good work at your next concert, okay?"
Hitori Gotou, R-Right... I'll do my best.
s Fans, Will you be playing that song again?
Hitori Gotou, Y-Yes. I will.
s Fans, Can't wait to see it!
Kikuri Hiroi," To think I had this shining period myself once... Tonight, I drown away my cares."
Hitori Gotou, Wh-Why are you crying?
Kikuri Hiroi," Sorry, sorry! I'll be back in my happiness spiral soon..."
Hitori Gotou, Th-That can't possibly be good for you.
Police, Excuse me. You guys can't play here!
Kikuri Hiroi, Sorry!
Hitori Gotou, I-It's the fuzz! Are they gonna take me away?!
Kikuri Hiroi," Of course not! They are pretty mad, though, so let's call it quits here."
Hitori Gotou," Oh, that's right. I got so carried away before, but I still have one ticket left to sell... B-But I did sell four! Not bad for my first time!"
Kikuri Hiroi," I'll buy that last one. The ticket. That'll get you to your quota, right?"
Hitori Gotou, Y-You're sure?!
Kikuri Hiroi," Of course. I typically operate out of Shinjuku, so I'm close by, and I know this club too."
Hitori Gotou, Th-Thank you so much...
Kikuri Hiroi, A concert costing over five Onikoros... It'd better be worth it!
Hitori Gotou, R-Right!
Kikuri Hiroi," Let's play together again some time! Bye-bye, Hitori-chan!"
Hitori Gotou, What a mysterious person. Rockers really are... cool.
Kikuri Hiroi, I spent the last of my money on your ticket! Can I borrow some for the train? I'll pay you back at the concert.
Hitori Gotou, This feels strangely familiar. Why are rockers all so poor?
Hitori Gotou, I'm sorry I didn't make it to practice today. Also... I sold all my tickets!
Hitori Gotou, And... send! May our concert be a big success!
Ikuyo Kita," Also, I sold all my tickets,"" she said!"
Nijika Ijichi," Bocchi-chan... She's totally lying, right?"
Ryo Yamada, Totally.
Ikuyo Kita, I bet our LOINEs really did put pressure on her.
Ryo Yamada, Poor thing.
Nijika Ijichi, Let's all be nice to her at practice tomorrow!
Ryo Yamada, Sure.
Ikuyo Kita, Right!
Nijika Ijichi," So hot! Summer's in full swing, huh?"
Ikuyo Kita, Very much so! I think we're almost at Gotoh-san's house.
Nijika Ijichi," Great! Thanks for showing me around, by the way."
Ikuyo Kita, Not at all! I'm really looking forward to this!
Nijika Ijichi," Yeah! It'll be such a new experience! I mean, we mainly only get together at Starry, right?"
Ikuyo Kita, Yes! I wonder what Gotoh-san's house is like!
Nijika Ijichi, She said something about a cramped cardboard box reminding her of home...
Ikuyo Kita, A house like a cardboard box?
Nijika Ijichi," Bocchi-chan says the funniest things, huh? I can't wait!"
Ikuyo Kita, Neither can I! I brought some sweets and a movie I like.
Nijika Ijichi," Hey! You didn't forget why we're doing this, did you?"
Ikuyo Kita," No, I remember! We're designing T-shirts for our concert, right?"
Nijika Ijichi, Yeah!
Ikuyo Kita, I wish Ryo-senpai could've come too...
Nijika Ijichi," I did invite her, but... She says her grandma took a turn for the worse."
Ikuyo Kita, Is she all right?!
Nijika Ijichi," Oh, she's fine. This is like the tenth critical time for her grandma this year."
Ryo Yamada, I love the way the guitar comes in here.
Ikuyo Kita, You mean...
Nijika Ijichi," I mean, at least her grandma really exists. That's a heckuva low bar."
Students, Let's hang out!
Nijika Ijichi," Once, when some classmates invited her to hang out with them..."
Ryo Yamada," Sorry, my dog Pe'z has to have surgery."
Students, What?!
Nijika Ijichi," So she said, but she's never even had a dog."
Ikuyo Kita, She hasn't?
Nijika Ijichi," She hasn't! Then there's ""I just got a call from my twin sister separated at birth,"" and ""my dad was in a car crash, and now he has amnesia."" Just all the silliest excuses..."
Ikuyo Kita, I'm impressed by how easily she comes up with such a wide range of lies. Senpai's amazing! I love me a bad girl!
Nijika Ijichi, That's a serious Ryo obsession right there.
Ikuyo Kita," We're here! This is it! This... is it, isn't it?"
Nijika Ijichi," It... does say ""Kessoku Band,"" right?"
Ikuyo Kita, Did she mention her house was a ryokan?
Nijika Ijichi, I'm not sure. It just looks like a normal house to me.
Ikuyo Kita, Yeah.
Nijika Ijichi, Anyway...
Nijika Ijichi," We're here, Bocchi-chan!"
Ikuyo Kita, Hello!
Hitori Gotou, C-Coming! Y-Yaaaay! W-W-Welcome!
Nijika Ijichi," Are you having fun, Bocchi-chan?"
Hitori Gotou, Y-Yeah... I b-b-bombed...
Ikuyo Kita, Isn't that nice? Gotoh-san's made it clear how much she's been looking forward to this too!
Hitori Gotou, Kita-san knows the kindest words to soothe my bombed soul.
Hitori Gotou, C-Come in.
Nijika Ijichi, Okay!
Ikuyo Kita, Coming in!
Ikuyo Kita," Gotoh-san, these are for you. Please enjoy them with your family."
Hitori Gotou, Wh-What? Th-Thank you...
Hitori Gotou," Ah, t-trendiness emanates from the bag! shining smells so good"
Ikuyo Kita," I brought a movie, too!"
Nijika Ijichi," I told you, we have to figure out our T-shirt design for the concert!"
Nijika Ijichi," Rather than just wearing whatever, wouldn't having matching outfits create a sense of one-ness? A sense of band-ness?! Am I wrong here? Besides..."
Seika Ijichi, There's nothing tying you guys together.
Nijika Ijichi, I know that's what she'll say! You get it? We're not here to play around!
Hitori Gotou, Th-This way... I-I'm sorry. I'll put it all away.
Nijika Ijichi," W-Well, we could play around a little!"
Ikuyo Kita," Yes, I'd love that!"
Hitori Gotou," W-Well then, I'll fetch the drinks. Please make yourselves at home."
Nijika Ijichi, Thanks!
Nijika Ijichi," But wow, she really went all-out with the decorations!"
Ikuyo Kita," There's nothing here besides the guitar and effects unit, though."
Nijika Ijichi, Yeah...
Ikuyo Kita, I just assumed her room would have a bit more of a rock feel to— Is this... rock?
Nijika Ijichi," Yeah, it's pretty rock! I w-wonder if there's anything else rock about i— Ow!"
Ikuyo Kita, Huh? Why does she have so many copies of our ProPho?
Nijika Ijichi," I don't know what's going on, but it seems pretty darn rock!"
Futari Gotou, She's got blown-up ones too! She had this picture stuck up all over her room. She said she really liked it! But Mom told her to take them down because they were hurting her eyes. And we put those seals up when Sis was possessed before! That should just about cover it!
Ikuyo Kita," Wait, are you Gotoh-san's sister?"
Futari Gotou, Yes! A pleasure to meet you. I'm Futari Gotoh. The dog's Jimihen.
Hitori Gotou, I hope barley tea's okay. Or would they prefer a trendier drink?
Nijika Ijichi, So cute!
Ikuyo Kita, So cute!
Hitori Gotou, Sorry to keep you guys wa—
Futari Gotou," Hey, will you play the Munions song on guitar?"
Ikuyo Kita, I'll practice so I can do it the next time I come by.
Futari Gotou, You gotta! When's the next time you come by?
Hitori Gotou, I-Is this...
Nijika Ijichi, Jimihen's a friendly little guy!
Hitori Gotou," Th-They're getting along so well, there's no room left for me..."
Nijika Ijichi, Huh? Bocchi-chan?
Ikuyo Kita, Gotoh-san?
Hitori Gotou, A five-year-old and a dog have better social skills than me.
Futari Gotou, Sis is frozen up again.
Hitori Gotou, F-Futari. Wh-What are you doing here? Wh-Where are Mom and Dad?
Futari Gotou, Shopping.
Hitori Gotou," I-I-I've got grown-up things to talk about, so please go play with Jimihen."
Futari Gotou," Aw, no fun!"
Ikuyo Kita, I don't mind having Futari-chan here.
Nijika Ijichi," Yeah, same!"
Hitori Gotou, Y-Y-Y-You can't! I c-c-can't whoop it up if my sister's here!
Nijika Ijichi," Bocchi-chan, you've been whooping it up with us all this time?"
Hitori Gotou, I beg of you! Please go play with Jimihen! You can have an ice pop from the freezer.
Futari Gotou," Well, it is what it is!"
Ikuyo Kita, You've got such a sisterly bond!
Nijika Ijichi, How did you get that from what just happened?
Nijika Ijichi," Now, let's design those T-shirts! Feel free to use these!"
Ikuyo Kita, Okay!
Hitori Gotou, Okay...
Nijika Ijichi," We could just slap our logo on there, but I'd love to sell the shirts as merch, too!"
Hitori Gotou, N-Nijika-chan is so hungry for merch!
Nijika Ijichi," So if you have any other great ideas, I might use those as well!"
Ikuyo Kita," Okay! Let's do our best, Gotoh-san!"
Hitori Gotou, R-Right!
Hitori Gotou, I have to impress the others for once!
Nijika Ijichi," C'mon, take that stuff off before you try to look serious!"
Naoki Gotou, What? They really came?
Michiyo Gotou, Really? For real?
Futari Gotou, Yeah!
Michiyo Gotou, These friends aren't just the imaginary kind?
Futari Gotou," Yeah, yeah!"
Ikuyo Kita, All done!
Nijika Ijichi, Let me see!
Ikuyo Kita," The concept is friendship, effort, and victory!"
Nijika Ijichi, It's not a dang sports festival!
Ikuyo Kita," Aw, but I think it's cute!"
Nijika Ijichi," Hang on. What are we winning at? I'm not sure how ""victory"" applies to a concert..."
Ikuyo Kita, Um... vibes!
Nijika Ijichi, Vibes?
Ikuyo Kita," I just think wearing these would really get us feeling like a unit! Right, Gotoh-sa—"
Hitori Gotou, C-Class unity...
Nijika Ijichi, Bocchi-chan! Is the idea of a sports festival that traumatic for you?!
Hitori Gotou," The sports festival: the number one-source of school trauma for introverts. School Trauma Sources for Introverts 1st Place (Based on Japanese Introvert Society Poll) A heinous ritual in which those with no athletic ability are shunned, and even their right to exist is stripped away. Not only during school hours, but afterward too, they are forced to perform slave labor, creating banners and practicing cheers! One for all! All for one! One for all! All for one! An entire month's torturous existence living for naught but the sports festival! One for all! All for one!"
Ikuyo Kita, Looks like Gotoh-san melted.
Nijika Ijichi, It sure is hot today!
Apocalypse Classmates," No cooperation, no life!"
Hitori Gotou, But the true terror lurking behind every sports festival...
Nijika Ijichi," Wow, this week's Bocchi Time lasted through the whole commercial break!"
Ikuyo Kita, Did I do something wrong?
Nijika Ijichi," You've really put your foot in it now, Kita-chan!"
Ikuyo Kita," What? Come back, Gotoh-san!"
Apocalypse Classmates," No cooperation, no life!"
Hitori Gotou," A place in which introverts are constantly underfoot, but if they just sit quietly in a corner, they're persecuted for not being team players!"
Apocalypse Hooligan, Death to those who bring down the sports festival mood!
Apocalypse Classmates," No cooperation, no life! No cooperation, no life!"
Futari Gotou, See? They really exist!
Ikuyo Kita, Hello!
Nijika Ijichi, Thanks for having us!
Naoki Gotou, Isn't it wonderful? I never imagined Hitori would have real friends over!
Michiyo Gotou," Eat your fill, all right?"
Nijika Ijichi, Sure!
Ikuyo Kita, Thanks so much!
Naoki Gotou," You let Hitori join your band, right?"
Ikuyo Kita, Yes.
Nijika Ijichi," We didn't exactly ""let"" her join. I asked her to join, and she was willing to humor me."
Michiyo Gotou, Really?
Naoki Gotou," See? Music really brings people together! Right, Jimihen?"
Michiyo Gotou," She doesn't cause too much trouble with her retreats into her own little world, does she?"
Ikuyo Kita," Aw, that's no trouble at all!"
Nijika Ijichi, Yeah! It's fun!
Michiyo Gotou, Nice to hear.
Naoki Gotou," Here, it's done."
Hitori Gotou," The fact that I'm still upset about school festivals makes me realize I'm a downer even more, which made everything worse..."
Michiyo Gotou, Karaage's done!
Ikuyo Kita," Wow, that looks good!"
Nijika Ijichi," Wow, that looks good!"
Naoki Gotou," That one is soy sauce with garlic, and this one is shio koji. And there's lemon and shichimi spice to taste."
Ikuyo Kita, Thanks!
Nijika Ijichi," Kita-chan, eat!"
Ikuyo Kita, Okay!
Michiyo Gotou," When she said she had friends coming, I assumed they were imaginary or hallucinations, but then, she did have that picture..."
Nijika Ijichi, Hallucinations?
Naoki Gotou," But of course, image editing software is pretty sophisticated these days..."
Ikuyo Kita, Software?
Naoki Gotou," If I might ask, you're not from some kind of friend rental servi—"
Nijika Ijichi, We're her bona fide bandmates!
Naoki Gotou," Oh, okay."
Hitori Gotou, I can't say it doesn't sound like something I'd do... but hearing Mom and Dad's ideas about me is so...
Naoki Gotou, It's just that Hitori's never brought a friend home before.
Nijika Ijichi, So Bocchi's like this even at home.
Michiyo Gotou," She's been so restless for days now. She said something about practicing decorating her room, put it all up, took it all down, and put it back up, over and over again."
Naoki Gotou," And she played a simulated game of Twister, just in case you played."
Hitori Gotou, M-Mom! Dad! You don't have to tell them all that stuff!
Michiyo Gotou, I'm glad we went shopping just in case!
Naoki Gotou," Okay, this is a day worth remembering! A friend-a-versary!"
Futari Gotou, Friend-a-versity!
Hitori Gotou, C-Cut it out already!
Michiyo Gotou, That's right. The job she said she'd gotten...
Nijika Ijichi," Yeah, it's at my sister's club. Bocchi-chan mainly serves drinks to customers."
Naoki Gotou, T-To customers?!
Michiyo Gotou, T-To customers?!
Nijika Ijichi, Yeah!
Hitori Gotou, It does feel pretty weird to have friends at my house...
Michiyo Gotou, Am I dreaming?
Naoki Gotou, Amazing. Music really does cause personal growth!
Michiyo Gotou, And you were having so much fun when we burst in like that! I'm so sorry.
Naoki Gotou, Maybe we should butt out?
Futari Gotou," Hey, hey, Kita-chan! What's this?"
Ikuyo Kita, That's my favorite heartwarming movie!
Nijika Ijichi, I've always wanted to watch that one!
Michiyo Gotou, Wanna watch it all together?
Futari Gotou," Yes, please!"
Naoki Gotou, Great idea! What fun!
Futari Gotou, Yeah! So fun! So fun! Yeah!
Hitori Gotou," I don't know why, but... it feels kind of hard to go back in now..."
Hitori Gotou," We ended up watching the movie, playing games, and having nothing but fun."
Ikuyo Kita, Twister and Tycoon were so much fun to play!
Nijika Ijichi, Yeah! So much fun! And yet...
Ikuyo Kita," That's right! We still need to design our T-shirts for the concert. Oh, wait... Senpai! Gotoh-san's back to it!"
Nijika Ijichi," Oh, I know why. Watching that heartwarming seishun movie has her back in a spiral."
Ikuyo Kita, I did it again?!
Hitori Gotou," Heartwarming seishun movies: the number-one source of movie trauma for introverts, by genre. Traumatic Movie Genres for Introverts 1st Place (Based on Japanese Introvert Society Poll)"
Nijika Ijichi, Bocchi-chan! We're running out of time! Snap out of it!
Hitori Gotou," A-An ordinary girl has two hot guys trying to win her heart... But if someone that cute is ""ordinary,"" what hope is there for me?"
Ikuyo Kita, Gotoh-san!
Nijika Ijichi, It's hopeless.
Nijika Ijichi, Ryo sent in a bunch of design ideas!
Ikuyo Kita, Let me see! I want to see!
Nijika Ijichi," C'mon! Look with us, Bocchi-chan! Wh-What in the world?"
Ikuyo Kita, Curry? Now sushi...
Nijika Ijichi, I don't get it.
Ryo Yamada, Which should I have for dinner? Fried Rice Ramen Set
Nijika Ijichi, Make your own decisions!
Ikuyo Kita, I think curry's better!
Nijika Ijichi," Kita-chan, don't actually respond!"
Hitori Gotou, E-Excuse me...
Nijika Ijichi," Hey, Bocchi-chan's back?"
Hitori Gotou, Y-Yes... I thought you might like to see my design... What do you think?
Nijika Ijichi, S-So lame!
Hitori Gotou, I-Is it too trendy?
Ikuyo Kita, It's that mystery font I see on middle school boys' clothing all the time.
Hitori Gotou, I thought it would keep people focused on our clothing when we're playing.
Nijika Ijichi," Yeah, for several reasons."
Ikuyo Kita, What's the point of all the zippers and chains?
Hitori Gotou," I thought I could use the zippers to hold picks, and the chain could serve as a guitar strap."
Nijika Ijichi, Weirdly practical!
Hitori Gotou," So, can I assume we're all in on this one?"
Ikuyo Kita, I'm not sure about that...
Nijika Ijichi, Is this what you like to wear normally?
Hitori Gotou," My mom buys my clothes, so no."
Nijika Ijichi," Oh, really?"
Hitori Gotou," I've never worn any of them, though... They're not to my taste."
Nijika Ijichi," Aw, I wanna see!"
Ikuyo Kita, Same! I've never seen you in anything but the tracksuit!
Nijika Ijichi," C'mon, please! Try one on!"
Ikuyo Kita, Please! Please! Please! Please! Please!
Nijika Ijichi, Please! Please! Please! Please! Please!
Hitori Gotou, F-Fine...
Nijika Ijichi, Yeah!
Ikuyo Kita, Yeah!
Nijika Ijichi, She's so... C-Cute!
Ikuyo Kita, She's so... C-Cute! I love it! Look right this way!
Hitori Gotou," N-No pictures, please..."
Nijika Ijichi, I knew it! Bocchi-chan's cute!
Ikuyo Kita," It's easy to forget, with how she usually is!"
Hitori Gotou, U-Um... c-can I take it off now?
Ikuyo Kita," Wait, hang on!"
Nijika Ijichi, I know! Let's brush back your bangs! That's what you need!
Ikuyo Kita, Are you growing them out?
Hitori Gotou," I j-just can't get to the salon, so they grow out..."
Nijika Ijichi, Then I'll do some styling!
Hitori Gotou," N-No, thank you!"
Nijika Ijichi," Aw, don't be shy! Bocchi-chan's turning to ash! Her body can't keep up with the sudden stress of her face being exposed! Bocchi-chan's... dead."
Ikuyo Kita, We'll have to find a new guitarist. Senpai! What's wrong?
Nijika Ijichi," I'm suddenly so dizzy... The room is so damp all of a sudden, like all the air's been sucked out of it... I breathed it in!"
Ikuyo Kita, S-So did I!
Nijika Ijichi, I-It's no use. G-Going limp...
Ikuyo Kita, Is this... Gotoh-san's curse?
Michiyo Gotou, Would anyone like dessert?
Naoki Gotou, We've got the sweets Kita-chan brought—
Nijika Ijichi, I'm sorry for trying to push through everything with positivity.
Ikuyo Kita, I'm sorry I couldn't get good at guitar. I'm sorry for being too cute.
Futari Gotou, They're all acting like Sis!
Michiyo Gotou," Dear, the salt and the seals!"
Naoki Gotou, Should I call that exorcist?
Nijika Ijichi, You'll have to do the concert yourself.
Ryo Yamada, Why?
Nijika Ijichi," And so... Since nobody had any good ideas, we're going with my T-shirt design!"
Ryo Yamada, Ta-dah.
Ikuyo Kita," I love it! Did you make this, Ijichi-senpai?!"
Nijika Ijichi, I'm pretty good at the design stuff!
Hitori Gotou, Then why didn't you just design it from the start?
Nijika Ijichi," Bocchi-chan. You look like you were just thinking, Then why didn't you just design it from the start?"
Hitori Gotou, Sh-She's psychic!
Nijika Ijichi, I'm getting pretty good at guessing what you're thinking lately!
Nijika Ijichi, Awesome! Our ties feel so much stronger now!
Ikuyo Kita," Yeah, I love it!"
Ryo Yamada, The quality of the model helps.
Ikuyo Kita," Totally! Senpai, look right here!"
Hitori Gotou," This is pretty good, though. Two days to our concert. And we worked hard to make our ties feel..."
Ikuyo Kita," Hey, looks like there's a typhoon on the way."
Nijika Ijichi, No way! This is the first I've heard of it!
Ryo Yamada, Summer weather is so fickle.
Nijika Ijichi, Seriously?
Hitori Gotou, B-But what about the concert?
Ryo Yamada, Should we make rain charms?
Nijika Ijichi, Yeah! That's our only choice! Your quota is ten each!
Hitori Gotou, R-Right!
Ikuyo Kita," Oh, it looks like it won't hit the Kanto region, though."
Nijika Ijichi," Oh, really? Whew, that's a relief!"
Ikuyo Kita, I can't wait for the show!
Ryo Yamada, Yeah.
Nijika Ijichi, I think the new song's coming together pretty well!
Hitori Gotou, U-Um...
Ikuyo Kita, Yeah! We're all sounding awesome!
Nijika Ijichi," Okay, let's get practicing!"
Hitori Gotou, Excuse me! Sh-Shouldn't we still make the rain charms? Just to be safe?
Nijika Ijichi," Yeah, sure! Better safe than sorry, right?"
Ikuyo Kita, Totally!
Nijika Ijichi, I'll bring in what we need to make them.
Hitori Gotou, O-Okay!
Nijika Ijichi, I haven't made rain charms since elementary school!
Hitori Gotou," I'm used to being negative, so I always assume the worst, but..."
Ryo Yamada," Sorry, the five younger brothers I haven't seen since birth—"
Nijika Ijichi," Stop acting above it! It was your idea! You okay, Bocchi-chan?"
Hitori Gotou, Y-Y-Y-Y-Yes!
Hitori Gotou, It'll be okay... I think.
Hitori Gotou, I hate it when I'm right.
Seika Ijichi, Nijika and her friends made them.
san, But the typhoon still came in the end.
Seika Ijichi," Well, it's not like rain charms actually affect the weather."
san, Even the people who bought tickets might not come at this rate. I hope they're not too heartbroken by the small crowd. They practiced so hard for this. I feel bad for them.
Seika Ijichi, Real bands get screwed over by life all the time. They need to learn to make it through any situation.
san, I've got a handkerchief.
Seika Ijichi," Oh, go away."
Ikuyo Kita, Looks like my friends can't come either.
Hitori Gotou," S-Same with my parents. M-My grandma was supposed to look after Futari, b-but now she can't come, so..."
Nijika Ijichi, Yeah. Makes sense...
Ikuyo Kita, Our audience is going to be less than half of what we expected.
Nijika Ijichi," Well, it is what it is! Let's take it in stride!"
Ikuyo Kita," Yes, of course!"
Hitori Gotou," Nijika-chan always stays so cheerful, no matter what happens."
Nijika Ijichi," C'mon, look alive there!"
Ryo Yamada, It's the low-pressure system. So sleepy...
Hitori Gotou, That's right. Even during the concert where I was just helping... She worked so hard to cheer me up when I was scared. O-Okay! For today's concert... I'm gonna bring the hype!
Nijika Ijichi," Bocchi-chan, this is a serious concert. No messing around."
Ikuyo Kita," You really like that outfit, huh?"
Hitori Gotou, Y-Yes...
Kikuri Hiroi," Wow, look at that rain! Bocchi-chan, I'm here!"
Hitori Gotou, M-Ma'am!
Seika Ijichi," Oh, you came here for Bocchi-chan?"
Kikuri Hiroi, Heck yeah! Yay!
Hitori Gotou, Y-You know each other?
Seika Ijichi, She was my junior in college.
Kikuri Hiroi," Betcher havin' an afterparty tonight, right? Picked an izakaya yet?"
Seika Ijichi, You reek of booze!
Kikuri Hiroi," I know a good one, 'kay? 'Kay?"
Seika Ijichi, How did you become even more of a pain in the ass?
san, She's got that pain-in-the-ass quality that college students have when they'd just learned something new.
Seika Ijichi, And look at you! You're soaked!
s Fans, I'm so wet! Hitori-chan!
Hitori Gotou, The girls from our street concert! Y-You really came?
s Fans, Of course we did! We're your fans! We'll be expecting a performance powerful enough to blow away the typhoon!
Hitori Gotou, Fans...
s Fans," Y-You are Hitori-chan, right? Did we have the wrong person?"
Hitori Gotou, My fans!
Guitar man, Congrats! Congrats! Congrats!
Microphone man, Congrats! Congrats! Congrats!
Hitori Gotou, My fans!
s Fans, It is the wrong person!
Ikuyo Kita, Looks like the rain's only going to get worse.
Nijika Ijichi, Worse than this?
Ikuyo Kita, Yes...
Ryo Yamada, Maybe we should just stream it as a no-audience concert and act like it was supposed to be that way from the start.
Nijika Ijichi," We're not doing that! It's way too late to get anyone to tune in, and we've already got a couple people here..."
Hitori Gotou, I-I-I-It'll be okay! A-As long as we have p-people waiting to see us p-perform!
Nijika Ijichi, Don't you dare! She's evolved somehow...
Ikuyo Kita," It's just about start time, and there's really not many people out there..."
Nijika Ijichi," But the other bands' fans are here too, and I'm sure they'll all listen to us!"
Ryo Yamada, And I'm sure more will arrive if we start.
Concertgoer," Hey, you ever heard of this first group? Kessoku Band? Don't know. Don't care. Yeah, seems like a waste of time."
Nijika Ijichi," W-Well, we're new, so of course no one knows us! Don't let it get you down!"
Ikuyo Kita, E-Exactly!
Ryo Yamada, Don't sweat it. Don't sweat it.
Hitori Gotou, R-Right!
Nijika Ijichi," O-Okay, it's almost time! Let's do that concert, you guys!"
Ikuyo Kita, A pleasure to meet you! We're Kessoku Band! We appreciate your kind attendance in spite of this awful weather!
Nijika Ijichi," Kita-chan, that's way too polite for a rock band!"
Hitori Gotou," I want my mango box! Actually, I want to disappear altogether!"
Ikuyo Kita," Well, let's get to that first song! Please lend your ears to our original song: Guitar, Solitude, and the Blue Planet!"
Hitori Gotou, Nijika-chan's drumming feels a little slow. And Kita-san's making mistakes she didn't make in practice. Ryo-san and Nijika-chan aren't in sync at all. We're not playing the way we usually do...
Ikuyo Kita," That was ""Guitar, Solitude, and the Blue Planet""!"
Concertgoer," Yeah, what a waste of time. We should've showed up later."
Ikuyo Kita, Um...
Nijika Ijichi," Kita-chan, you need to introduce the next song!"
Ikuyo Kita," R-Right! The next is another of our original songs, and it's one we just wrote..."
Hitori Gotou, Our performance and our songs still aren't good enough. But... I refuse to let it stay this way!
Concertgoer," Hey, not bad! Yeah!"
s Fans, That was super cool! Yeah!
Kikuri Hiroi, Magnificent smugface.
Ikuyo Kita," That was our second song, ""That Band""! Now, here's our last song!"
Seika Ijichi," Nice work on the concert. This is all on my tab, so drink up."
Nijika Ijichi," Thanks, Sis! Though we don't drink..."
Kikuri Hiroi," Love ya, Senpai!"
Seika Ijichi, You pay your own way. Get off.
Ikuyo Kita," Who exactly is this woman, if I may ask?"
Kikuri Hiroi," Genius bassist and unparalleled bass-lover, Kikuri Hiroi! I left my bass at a drinking party yesterday, but I forgot which drinking party, so..."
Ikuyo Kita, Instant self-contradiction.
Ryo Yamada, I've been to a lot of your concerts.
Kikuri Hiroi," Aw, for real? You got good taste, hon!"
Ryo Yamada, You spray booze on the audience.
Kikuri Hiroi," Blind drunk concerts are the best! Sorry, forgot the words! But hey, that's how concerts go sometimes! Don't be mad, you jerks!"
Ryo Yamada, I treasure my memory of you stepping on my face.
Kikuri Hiroi," Thank you, Shinjuku! I love you mother******s!"
Ikuyo Kita, There's so much about rock I have yet to learn.
Nijika Ijichi, It might be okay not to learn all that.
Kikuri Hiroi, Glad your concert turned out well in the end!
Nijika Ijichi," For an audience of ten, sure."
Kikuri Hiroi, But every single one of 'em left happy!
Nijika Ijichi," Yeah, guess so!"
Seika Ijichi," Well, keep it up, and you'll pick up fans. Work hard for your next concert. And make sure you pay your quota fee."
Nijika Ijichi, That'd be really inspiring without the last bit...
Seika Ijichi," You worked really hard today too, Bocchi-chan... Wait, why's she a husk?!"
Nijika Ijichi," Bocchi-chan, don't turn to ash!"
Hitori Gotou, I've grown so tired...
Guitar man, Congrats! Congrats!
Microphone man, Congrats! Congrats!
Seika Ijichi," That's the wrong show! Go on, order as much food as you like!"
Hitori Gotou, R-Right...
Nijika Ijichi," Watcha gettin', Bocchi-chan? I was thinking of ordering karaage!"
Hitori Gotou, S-Sounds good...
Seika Ijichi, What are you doing?
Nijika Ijichi, But this looks pretty good too!
Ikuyo Kita, Isstagramming! I'm the minister!
Seika Ijichi," Minister? What do you like so much about that, anyway?"
Ikuyo Kita, What? I guess it's like giving people a piece of the fun... Isn't everything more fun when you share it with your friends?
Ikuyo Kita, Kit-aura!
Nijika Ijichi, Nice! Use that Kita-chan power of yours to purge my sister's twisted spirit!
Ikuyo Kita, Twisted? But the manager's really nice!
Ikuyo Kita, Kit-aura! Kit-aura!
Seika Ijichi, Stop it. You're killing me.
Hitori Gotou, I-I've made up my mind. Here's the menu.
Ikuyo Kita, Thanks! Let's see... I'll have the avocado and cream cheese pinchos! And the Spanish omelette with hollandaise sauce!
Seika Ijichi, The what?
Ikuyo Kita, Here! The omelette with hollandaise.
Seika Ijichi, Hollanda-what?
Hitori Gotou, Kita-san's so fluent in trendy gibberish.
Nijika Ijichi, Nice! Nice! Keep ordering!
Hitori Gotou, I bet she can casually walk into a Starpucks. I bet she could make the most complicated orders like it was nothing.
Ikuyo Kita, I'll have the puri-puri pepero papipupepo peroppe pacina shortcake! Kit-aura!
Seika Ijichi, Bocchi-chan? What do you want?
Hitori Gotou, Oh... I w-won't be the way I usually am! I'll make a trendy choice too!
Seika Ijichi, Bocchi-chan?
Hitori Gotou," Th-Then, I'll have the M-Machu Picchu Ruins, Mississippi River, Grand Canyon San Diego hash..."
Seika Ijichi," M-Machu Picchu, Machu Picchu, Machu Picchu... Where's that exactly?"
Hitori Gotou," Oh, I read it wrong... I meant fries."
Seika Ijichi, How did you read that wrong?
Ryo Yamada, Pickled fish offals for me.
Kikuri Hiroi, How old're you again?
Seika Ijichi, You're already moving on?
Kikuri Hiroi," Izakayas are like my home ground, y'know?"
Ikuyo Kita," Hey, how do you read this one?"
Kikuri Hiroi, Which one? I don't think I can read it either...
Ikuyo Kita," You're so knowledgeable, Ryo-senpai!"
Hitori Gotou," It's my first time at an izakaya, but they're actually kind of fun... I wonder if they'll be even more fun when I grow up and can drink."
Bartender, Sure thing! One shochu!
Hitori Gotou," Is life just an unrelenting hell? If I can't make my stage debut in high school, I'm going to have to get a proper career too. I'm not smart enough to get into college, and I don't even know what I'd go for..."
Imaginary Boss," Your sales for this month were the lowest on the team, Gotoh-san. Gotoh-san again? It's partly the boss being cruel. He transferred her to sales to try to make her quit!"
Hitori Gotou," E-Excuse me... W-Would you like to buy some tokoroten? It's well-aged, and it goes down smooth... I see as plain as day where my Game of Life is going!"
Michiyo Gotou," Hitori-chan, won't you open up? Please? You don't have to go back to work. Just come eat dinner with me again! Please?"
Hitori Gotou, aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
Seika Ijichi, Another of Bocchi-chan's episodes?
Kikuri Hiroi," Oh, so that is typical for her!"
Hitori Gotou," If I can't make money with my guitar, I'll end up a NEET. If I can't make money with my guitar..."
Seika Ijichi, Her face is scary when it gets like that.
san, Really? I think it's got personality.
Seika Ijichi, Are you for real?
